project,javamop,tracemop (no-track) new,tracemop speedup (no-track),javamop - tracemop,tracemop new time,tracemop old time,old/new,old-new,mop memory,tracemop new memory,tracemop old memory,new - old in GB,tracemop new disk (byte),tracemop old disk (byte),new - old in MB
agarciadom-xeger,53359,43714,1.220638697,9.645,193486,200700,1.037284351,7.214,9973708,31671556,42650244,-10.978688,17233466,155855763,-138.622297
apache-commons-codec,69520,53200,1.306766917,16.32,104199,80082,0.768548643,-24.117,10610944,19492264,18031208,1.461056,14425904,212390302,-197.964398
apache-commons-compress,408904,289236,1.413738262,119.668,406726,431866,1.061810654,25.14,13097904,40320908,53649968,-13.32906,96781462,1471737490,-1374.956028
attoparser-attoparser,457459,439004,1.042038341,18.455,3450171,4137380,1.199181142,687.209,18163252,230175848,461884200,-231.708352,64058728,708961293,-644.902565
AuthorizeNet-sdk-java,25933,32087,0.808208932,-6.154,36671,36964,1.007989965,0.293,8778844,11164940,19500960,-8.33602,87180,198699,-0.111519
cowtowncoder-java-uuid-generator,43468,47391,0.917220569,-3.923,269743,215414,0.798589769,-54.329,7737436,35197744,32005804,3.19194,2467225,385064785,-382.59756
CurrencyCloud-currencycloud-java,276607,303213,0.912253103,-26.606,320357,277297,0.865587454,-43.06,12000128,35948224,17872516,18.075708,19235799,68160476,-48.924677
dnsjava-dnsjava,186518,214482,0.869620761,-27.964,272893,230862,0.845979926,-42.031,12176832,31703760,30025516,1.678244,23938060,490661786,-466.723726
dperezcabrera-jpoker,132407,139346,0.950203092,-6.939,758796,1074590,1.416177734,315.794,17385640,93933564,120899752,-26.966188,1066438,438277154,-437.210716
googleapis-disco-to-proto3-converter,40643,49903,0.814440014,-9.26,92152,99037,1.074713517,6.885,9358032,24720196,22773852,1.946344,4267973,4478217247,-4473.949274
Heroicai0101-abtest,11521,13977,0.82428275,-2.456,22298,22173,0.994394116,-0.125,8057704,8612488,8758620,-0.146132,13360,32963,-0.019603
houbb-segment,28829,29456,0.978714014,-0.627,108272,92836,0.857433131,-15.436,12535452,30377748,23205484,7.172264,80508323,343286560,-262.778237
JetBrains-jetCheck,26240,27526,0.953280535,-1.286,74324,87167,1.172797481,12.843,5873128,21968192,22378200,-0.410008,3150758,15451988,-12.30123
lexburner-kdio,5111,4423,1.155550531,0.688,6083,4633,0.761630774,-1.45,2000988,2427852,1383236,1.044616,1317,1847,-0.00053
LiveRamp-HyperMinHash-java,205191,199817,1.026894609,5.374,476140,580710,1.21962028,104.57,16761280,52979512,69870468,-16.890956,144009286,1340955717,-1196.946431
lrozenblyum-chess,320384,337252,0.949983988,-16.868,1157437,1081178,0.934113909,-76.259,19930840,129022240,91929364,37.092876,608639010,2565619304,-1956.980294
MagicTheGathering-mtg-sdk-java,78818,98790,0.797833789,-19.972,169500,167461,0.987970502,-2.039,13814440,30248956,41144500,-10.895544,25358341,612845260,-587.486919
MezereonXP-AnomalyDetectTool,45773,44561,1.027198671,1.212,326850,232886,0.712516445,-93.964,4791652,49478644,50697296,-1.218652,174076,407743314,-407.569238
mvel-mvel,232320,238550,0.973883882,-6.23,352220,386387,1.097004713,34.167,17881720,32144472,49636872,-17.4924,4068555,89845419,-85.776864
named-data-jndn,14818,16269,0.910811974,-1.451,18461,18062,0.97838687,-0.399,4588856,7541772,8755160,-1.213388,72969,136934,-0.063965
rstoyanchev-spring-mvc-chat,59477,74747,0.795710865,-15.27,69605,64456,0.926025429,-5.149,10884380,7883868,7064164,0.819704,164605,314640,-0.150035
sangupta-bloomfilter,118919,25666,4.633328138,93.253,135860,65959,0.485492419,-69.901,6589164,32106312,17785604,14.320708,88003111,600003489,-512.000378
solita-functional-utils,362250,349111,1.037635594,13.139,54868,603485,10.99885179,548.617,4714332,15359512,10204072,5.15544,28845409,133403540,-104.558131
yomorun-hashids-java,17097,12995,1.315659869,4.102,69643,90064,1.293224014,20.421,2771868,14672424,17609772,-2.937348,15005626,58016852,-43.011226
zalandoresearch-zap,183183,229259,0.799022067,-46.076,270050,308538,1.142521755,38.488,14715752,50753232,46686800,4.066432,114517454,428278600,-313.761146
ngallagher-simplexml,1901628,1509322,1.259922005,392.306,9666265,678842,0.070227953,-8987.423,,0,0,0,1371044268,0,
orientechnologies-orientdb-jdbc,708366,689445,1.027443814,18.921,9258680,5467553,0.590532668,-3791.127,,0,0,0,6185807774,0,
sofastack-sofa-hessian,729424,460443,1.584178715,268.981,3688646,567010,0.153717651,-3121.636,,0,0,0,424486058,0,
codeclou-java-junit-xml-merger,23265,27574,0.8437296,-4.309,25845,54775,2.119365448,28.93,,0,0,0,94231,0,
RestExpress-PluginExpress,130883,156854,0.834425644,-25.971,167727,31200,0.186016563,-136.527,,0,0,0,343416,0,
aelstad-keccakj,109575,97555,1.123212547,12.02,153434,151657,0.988418473,-1.777,N/A,20419804,18379076,2.040728,4866451,12942988,-8.076537
albfernandez-itext2,84734,94177,0.899731357,-9.443,115994,110958,0.956583961,-5.036,N/A,28987948,29233892,-0.245944,9346467,62469772,-53.123305
aled-jsi,19697,18975,1.038050066,0.722,27125,33496,1.234875576,6.371,N/A,8927148,9630444,-0.703296,3313965,15958783,-12.644818
almondtools-stringsearchalgorithms,201367,183607,1.096728338,17.76,916541,1252661,1.366726639,336.12,N/A,100102348,150430532,-50.328184,176774264,1630683821,-1453.909557
apache-commons-graph,98230,73372,1.33879409,24.858,231923,347771,1.499510613,115.848,N/A,20392680,73253228,-52.860548,47989054,874661151,-826.672097
apache-commons-jxpath,29763,31563,0.942971201,-1.8,69053,70428,1.019912241,1.375,N/A,24834132,19466596,5.367536,150192938,591571444,-441.378506
apache-maven-clean-plugin,72898,55873,1.304708893,17.025,62594,54865,0.876521711,-7.729,N/A,22025760,13807228,8.218532,1579648,6463175,-4.883527
apache-maven-compiler-plugin,157237,142847,1.100737152,14.39,168158,133980,0.796750675,-34.178,N/A,25221620,14801008,10.420612,2736632,12620958,-9.884326
apache-maven-deploy-plugin,154752,134249,1.15272367,20.503,255376,327624,1.282908339,72.248,N/A,0,0,0,2114431270,0,-12335.77361
apache-maven-install-plugin,154514,138798,1.113229297,15.716,237005,269975,1.139110989,32.97,N/A,55590548,44496068,11.09448,2036911027,13099955677,-11063.04465
apache-maven-jarsigner-plugin,76852,77114,0.996602433,-0.262,76235,68559,0.89931134,-7.676,N/A,4601868,4647116,-0.045248,371886,1238693,-0.866807
apache-maven-source-plugin,87577,57954,1.511146772,29.623,60430,61918,1.024623531,1.488,N/A,12299016,13796692,-1.497676,1984186,9628923,-7.644737
apanimesh061-VaderSentimentJava,27874,23996,1.161610268,3.878,111041,133509,1.202339676,22.468,N/A,34653108,34722444,-0.069336,12179639,173635126,-161.455487
blinkfox-jpack-maven-plugin,141769,151869,0.933495315,-10.1,152932,153346,1.002707086,0.414,N/A,11859056,14245116,-2.38606,2273534,12338143,-10.064609
Cantara-Java-Auto-Update,128190,153715,0.833945939,-25.525,162195,158138,0.974986899,-4.057,N/A,37828684,33267496,4.561188,447805,1436687,-0.988882
cloudbees-oss-zendesk-java-client,110647,129596,0.853784067,-18.949,131910,128200,0.971874763,-3.71,N/A,21553684,17443108,4.110576,906614,3899714,-2.9931
confluentinc-kafka-connect-datagen,76677,83260,0.920934422,-6.583,310162,368981,1.189639608,58.819,N/A,41981704,62600888,-20.619184,21787285,377252208,-355.464923
contentful-contentful-management.java,67845,81295,0.834553171,-13.45,89244,88977,0.997008202,-0.267,N/A,25169044,26519872,-1.350828,5015612,21465706,-16.450094
conveyal-osm-lib,240345,144285,1.665765672,96.06,363596,370566,1.019169628,6.97,N/A,56974716,51577228,5.397488,69713568,1263875200,-1194.161632
cowtowncoder-java-cachemate,8736,8023,1.0888695,0.713,35731,35613,0.996697546,-0.118,N/A,11285076,12507148,-1.222072,2520,7008745,-7.006225
cowtowncoder-low-gc-membuffers,8422,8113,1.038087021,0.309,42961,19269,0.448523079,-23.692,N/A,10132288,5478832,4.653456,1947693,152392292,-150.444599
davidmoten-rtree,508563,426827,1.191496789,81.736,504089,1929420,3.827538391,1425.331,N/A,51764400,246872060,-195.10766,15048644,118888093,-103.839449
