project,id,branch,line,num_of_commits,first_commit_timestamp,sloc,num_of_tests,stars,test_time
agarciadom/xeger,agarciadom-xeger,0.5,0.740740741,41,1359400396,204,4,89,2.855
apache/commons-codec,apache-commons-codec,0.927280551,0.945071646,2604,1051293060,23976,1699,436,27.145
apache/commons-compress,apache-commons-compress,0.75284738,0.868495781,4860,1069618067,72097,2708,305,38.038
attoparser/attoparser,attoparser-attoparser,0.646462019,0.698415141,330,1347734858,17205,16,47,79.896
AuthorizeNet/sdk-java,AuthorizeNet-sdk-java,0.042307692,0.201571268,446,1387314915,21657,47,43,2.261
cowtowncoder/java-uuid-generator,cowtowncoder-java-uuid-generator,0.428246014,0.503882657,236,1268879729,4862,66,631,4.031
CurrencyCloud/currencycloud-java,CurrencyCloud-currencycloud-java,0.710659898,0.655180552,431,1431334495,14604,128,16,159.191
dnsjava/dnsjava,dnsjava-dnsjava,0.657277848,0.688928766,2130,905060439,41606,1558,859,17.961
dperezcabrera/jpoker,dperezcabrera-jpoker,0.15720524,0.101273885,59,1421059909,3743,318,35,5.805
googleapis/disco-to-proto3-converter,googleapis-disco-to-proto3-converter,0.658513641,0.824431026,110,1591686228,3564,17,10,2.13
Heroicai0101/abtest,Heroicai0101-abtest,0.161616162,0.826446281,7,1572775387,488,10,18,2.085
houbb/segment,houbb-segment,0.82967033,0.92893401,88,1578964777,2401,33,125,2.947
JetBrains/jetCheck,JetBrains-jetCheck,0.751677852,0.883002208,47,1527858792,2607,54,78,3.441
lexburner/kdio,lexburner-kdio,0.361111111,0.582524272,8,1551271041,457,2,117,1.462
LiveRamp/HyperMinHash-java,LiveRamp-HyperMinHash-java,0.576923077,0.5696767,48,1525412928,2961,22,51,111.328
lrozenblyum/chess,lrozenblyum-chess,0.893145161,0.924242424,2194,1344966415,8836,564,11,8.144
MagicTheGathering/mtg-sdk-java,MagicTheGathering-mtg-sdk-java,0.528571429,0.392330383,128,1470878550,933,20,65,10.187
MezereonXP/AnomalyDetectTool,MezereonXP-AnomalyDetectTool,0.81092437,0.671787709,118,1524832077,1713,31,86,11.99
mvel/mvel,mvel-mvel,0.624115456,0.670153061,3150,1167682871,46156,1234,1024,9.326
named-data/jndn,named-data-jndn,0.295091901,0.304548772,2290,1383003734,68773,124,43,2.089
rstoyanchev/spring-mvc-chat,rstoyanchev-spring-mvc-chat,-1,-1,25,1335214309,193,2,174,1.836
sangupta/bloomfilter,sangupta-bloomfilter,0.248407643,0.418052257,50,1395731382,1010,5,55,10.091
solita/functional-utils,solita-functional-utils,0.269201521,0.124627862,308,1356097127,28262,48,22,1.953
yomorun/hashids-java,yomorun-hashids-java,0.684782609,0.812865497,113,1397753434,447,17,1009,2.469
zalandoresearch/zap,zalandoresearch-zap,0.63372093,0.597181009,19,1506523840,2918,35,50,38.829
ngallagher/simplexml,ngallagher-simplexml,-1,-1,1726,1169290713,46766,737,95,13.079
orientechnologies/orientdb-jdbc,orientechnologies-orientdb-jdbc,0.361842105,0.285498489,123,1312925367,3638,41,18,36.314
sofastack/sofa-hessian,sofastack-sofa-hessian,0.232309285,0.272014207,37,1522756162,35412,141,129,21.85
codeclou/java-junit-xml-merger,codeclou-java-junit-xml-merger,1,0.96460177,24,1504893036,386,12,13,1.784
RestExpress/PluginExpress,RestExpress-PluginExpress,0.3646178383,0.516631542,281,1347920585,4160,29,2,5.62
aelstad/keccakj,aelstad-keccakj,0.641176471,0.768518519,45,1413985487,3614,40,18,75.353
albfernandez/itext2,albfernandez-itext2,0.366326046,0.457461175,258,1455483687,100367,303,30,4.459
aled/jsi,aled-jsi,0.768382353,0.823394495,58,1204399173,5785,13,240,2.049
almondtools/stringsearchalgorithms,almondtools-stringsearchalgorithms,0.921875,0.947202522,250,1447359729,10355,223,42,8.186
apache/commons-graph,apache-commons-graph,0.790868925,0.84822335,838,1307795811,10494,160,25,4.543
apache/commons-jxpath,apache-commons-jxpath,0.680851064,0.775052192,859,998527622,26305,411,28,2.74
