project,SHA,category
agarciadom/xeger,f3b8a33b0f4438d639150b57b9a0257d50c71bc2,"ICSE many events, > 1M"
apache/commons-codec,634ac7caba17b3610e8fe3dd19f9f05faf4d1f94,"ICSE many events, > 1M"
apache/commons-compress,ca1052f1347e301b46b1224d6b92198699663763,"ICSE many events, > 1M"
attoparser/attoparser,e1049dcd8261fe315b679029e711a9f5ea03f1cc,"ICSE many events, > 1M"
AuthorizeNet/sdk-java,c76c9a1833306540cf6c5acaa8bc44ce9b598322,ICSE small project < 10k
cowtowncoder/java-uuid-generator,31408f5c088d27766269f905896efe383b38a46e,"ICSE many events, > 1M"
CurrencyCloud/currencycloud-java,832adb330d5eccceb0eaf4640f82d11ef27b5b0f,"ICSE many events, > 1M"
dnsjava/dnsjava,206c9e51ac18e1ed6f82beb16cb6c0ff1f83b095,"ICSE many events, > 1M"
dperezcabrera/jpoker,e771da71c3c5dc25b99355e41491933e78732e3e,"ICSE many events, > 1M"
googleapis/disco-to-proto3-converter,32cf5993853b1218e97e54c556f3922f49014eb8,"ICSE many events, > 1M"
Heroicai0101/abtest,af4fee940ce65e2cb91ce9b7fd1472748131cac5,"ICSE many events, > 1M"
houbb/segment,7dd1eb26315c1fd7e86456826ef01e4d3ed72062,"ICSE many events, > 1M"
JetBrains/jetCheck,8a7b755816887ec6ace8ad68b581cbb4c3f46cad,"ICSE many events, > 1M"
lexburner/kdio,29ddf366af2f7fcc0fb6a26b66a3c47a2e77e93b,ICSE small project < 10k
LiveRamp/HyperMinHash-java,9f5267dbaab4d82dcaf2eff4ceb4d9a1599bfeae,"ICSE many events, > 1M"
lrozenblyum/chess,c1e3eba8238eb61849fc53474f9d2d6144543d00,"ICSE many events, > 1M"
MagicTheGathering/mtg-sdk-java,5663cd4dcf7a3dd5620f0a17433e1cf6491abee6,"ICSE many events, > 1M"
MezereonXP/AnomalyDetectTool,03db9e457cb9d1866c82c5d24618fbabcbdf48a8,"ICSE many events, > 1M"
mvel/mvel,236d37bc78a158553592afedbbf1aa27815efb78,"ICSE many events, > 1M"
named-data/jndn,8aa52ec75b152495466f8f217dae193f1bd3919b,ICSE small project < 10k
rstoyanchev/spring-mvc-chat,a9be5b88d4e95159f05d9306b3f8f3ca1b134ddd,ICSE small project < 10k
sangupta/bloomfilter,5c7769f7ed19cc0eb2860cc0e1d4c0159830cd9e,"ICSE many events, > 1M"
solita/functional-utils,bf42b0192232c06ae6c50725c352cecca844b3f4,ICSE small project < 10k
yomorun/hashids-java,039da8c2af0d3ad485b3fa57afdde56248f641f3,"ICSE many events, > 1M"
zalandoresearch/zap,f00db1cb35f45b049124681e91a43e68b60cef10,"ICSE many events, > 1M"
ngallagher/simplexml,01d47a6561bd5f7654b414591f8f02c66d316ab4,ICSE new project (OOM)
orientechnologies/orientdb-jdbc,1cd2542848bfe411eafda3010a5a79ed9780de3e,ICSE new project (OOM)
